red1,red2,red3,blue1,blue2,blue3,redScore,blueScore
5166,4967,3655,3534,5878,2619,132,95
66,1701,2137,5050,6098,2337,117,120
3604,1918,3770,4381,5090,3546,123,107
5712,5505,3620,3668,6121,5460,150,127
3641,3707,3536,67,5048,2474,102,164
503,6193,6097,2604,1025,2767,91,120
3602,1684,573,5502,5926,6086,120,104
3539,2834,4216,3357,494,2054,105,135
4680,3656,2771,5448,1711,2586,165,110
1322,5907,6075,3098,2959,3414,89,124
2612,4003,3618,3534,1481,1718,128,107
5230,5114,123,66,27,5084,84,126
5050,3655,3548,107,4377,1023,122,116
68,858,6098,85,5167,5878,107,124
51,2337,4776,70,74,3886,117,125
217,3767,4384,2619,1250,1701,95,123
4362,5053,3452,2611,5980,5166,98,116
4967,33,548,5203,2137,3688,172,120
5155,3538,5222,3234,5150,4391,100,115
3357,5926,1718,1481,3414,1711,102,114
1322,3602,6121,3618,3539,6193,83,106
3098,4003,1023,3641,2586,66,175,124
5084,3604,503,6075,85,4680,127,104
74,2767,123,107,5090,5712,125,107
3655,6098,6086,1250,27,2612,117,112
2337,4384,2611,1025,5878,67,127,130
5907,2604,3688,5167,5980,2834,99,117
3620,3234,2054,3767,858,4381,161,110
5502,5505,3656,3770,2137,217,124,129
3538,4216,68,70,2959,3534,121,126
4391,1918,4377,5230,573,2619,165,113
2474,3707,4967,6097,5222,5460,137,114
4776,33,494,5048,4362,5114,160,143
5155,5166,3548,548,5448,3546,120,139
1684,3668,51,2771,1701,5053,101,143
3536,3452,5150,5203,3886,5050,132,109
66,6086,1711,3604,6121,858,108,132
6075,1718,5980,67,1023,2054,121,115
6098,6193,5712,3770,5926,2611,117,96
1481,2619,27,74,1322,1025,132,100
4391,1250,2137,2834,2959,2586,142,104
217,3534,5222,3539,503,2337,128,107
3357,4680,68,3620,3618,5114,117,140
70,4362,2604,3548,4381,4967,134,122
5230,5155,5050,4384,494,1684,130,122
3707,3546,85,3656,5150,4003,116,142
4776,5053,573,5505,5084,5203,110,127
1701,2767,5048,3452,4216,3655,154,112
3886,2771,3098,1918,5460,123,115,152
3668,5878,2474,3688,5502,107,104,137
3414,5090,2612,51,548,3602,100,119
6097,3538,3641,3767,5166,5167,129,103
3234,3536,33,4377,5907,5448,144,119
